"Total character count: 46,841,097",,,,,,
"Context number: 6,243",,,,,,
Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD
须,19946,425.82,4.2999,5029,80.55,3.7015
收,19712,420.83,4.2947,5237,83.89,3.7191
交,19619,418.84,4.2927,5169,82.8,3.7134
坐,19613,418.71,4.2925,5211,83.47,3.7169
停,19564,417.67,4.2915,5107,81.8,3.7082
卡,19536,417.07,4.2908,3741,59.92,3.573
尼,19533,417.01,4.2908,2809,44.99,3.4486
婚,19494,416.17,4.2899,3555,56.94,3.5508
格,19477,415.81,4.2895,4252,68.11,3.6286
眼,19247,410.9,4.2844,5237,83.89,3.7191
金,19210,410.11,4.2835,4403,70.53,3.6437
蛋,19135,408.51,4.2818,4431,70.98,3.6465
息,19106,407.89,4.2812,5204,83.36,3.7163
室,19103,407.83,4.2811,4814,77.11,3.6825
内,19071,407.14,4.2804,5049,80.87,3.7032
运,18965,404.88,4.278,5194,83.2,3.7155
根,18904,403.58,4.2766,5276,84.51,3.7223
单,18894,403.36,4.2763,5302,84.93,3.7244
宝,18858,402.6,4.2755,4210,67.44,3.6243
哥,18845,402.32,4.2752,3690,59.11,3.567
张,18739,400.05,4.2727,5090,81.53,3.7067
搞,18599,397.07,4.2695,5020,80.41,3.7007
战,18511,395.19,4.2674,3826,61.28,3.5827
火,18479,394.5,4.2667,4630,74.16,3.6656
罗,18448,393.84,4.2659,2899,46.44,3.4622
至,18394,392.69,4.2647,5381,86.19,3.7309
万,18335,391.43,4.2633,4628,74.13,3.6654
声,18258,389.79,4.2615,5058,81.02,3.704
布,18253,389.68,4.2613,3969,63.58,3.5987
音,18229,389.17,4.2608,4546,72.82,3.6576
期,18143,387.33,4.2587,5078,81.34,3.7057
条,18134,387.14,4.2585,5053,80.94,3.7035
消,18103,386.48,4.2578,5170,82.81,3.7135
买,18045,385.24,4.2564,4587,73.47,3.6615
病,18032,384.96,4.256,3998,64.04,3.6018
整,18021,384.73,4.2558,5253,84.14,3.7204
奇,17952,383.25,4.2541,4896,78.42,3.6898
弟,17768,379.33,4.2496,3540,56.7,3.549
犯,17722,378.34,4.2485,4313,69.09,3.6348
装,17633,376.44,4.2463,5028,80.54,3.7014
贝,17592,375.57,4.2453,3956,63.37,3.5973
您,17561,374.91,4.2445,3190,51.1,3.5038
送,17550,374.67,4.2443,5050,80.89,3.7033
怕,17550,374.67,4.2443,5107,81.8,3.7082
护,17385,371.15,4.2402,4547,72.83,3.6577
度,17384,371.13,4.2401,5042,80.76,3.7026
花,17379,371.02,4.24,4923,78.86,3.6922
节,17377,370.98,4.24,4267,68.35,3.6301
近,17330,369.97,4.2388,5281,84.59,3.7227
怪,17328,369.93,4.2387,5039,80.71,3.7023
持,17301,369.36,4.2381,5058,81.02,3.704
光,17286,369.03,4.2377,4986,79.87,3.6978
与,17262,368.52,4.2371,4799,76.87,3.6812
穿,17175,366.67,4.2349,4855,77.77,3.6862
愿,17132,365.75,4.2338,5055,80.97,3.7037
象,17007,363.08,4.2306,4799,76.87,3.6812
影,16924,361.31,4.2285,4515,72.32,3.6547
击,16918,361.18,4.2283,4227,67.71,3.626
使,16913,361.07,4.2282,4913,78.7,3.6913
二,16814,358.96,4.2257,4904,78.55,3.6906
喝,16744,357.46,4.2239,4473,71.65,3.6506
月,16675,355.99,4.2221,4632,74.2,3.6658
器,16613,354.67,4.2204,3955,63.35,3.5971
察,16540,353.11,4.2185,3777,60.5,3.5771
制,16519,352.66,4.218,4821,77.22,3.6831
嘛,16515,352.58,4.2179,4290,68.72,3.6325
哈,16487,351.98,4.2171,3344,53.56,3.5243
助,16435,350.87,4.2158,4880,78.17,3.6884
达,16413,350.4,4.2152,4056,64.97,3.6081
海,16404,350.21,4.2149,3720,59.59,3.5705
待,16314,348.28,4.2126,5118,81.98,3.7091
托,16277,347.49,4.2116,4220,67.6,3.6253
除,16235,346.6,4.2105,5237,83.89,3.7191
写,16083,343.35,4.2064,4244,67.98,3.6278
绝,16004,341.67,4.2042,5004,80.15,3.6993
界,15995,341.47,4.204,4667,74.76,3.669
帝,15988,341.32,4.2038,3864,61.89,3.587
姐,15933,340.15,4.2023,3566,57.12,3.5522
反,15920,339.87,4.2019,4941,79.14,3.6938
担,15900,339.45,4.2014,5116,81.95,3.7089
司,15818,337.69,4.1992,3838,61.48,3.5841
强,15755,336.35,4.1974,4609,73.83,3.6636
由,15733,335.88,4.1968,4951,79.3,3.6947
论,15732,335.86,4.1968,4889,78.31,3.6892
飞,15717,335.54,4.1964,3552,56.9,3.5505
亚,15689,334.94,4.1956,2989,47.88,3.4755
续,15616,333.38,4.1936,4986,79.87,3.6978
视,15581,332.64,4.1926,4668,74.77,3.6691
母,15556,332.1,4.1919,4132,66.19,3.6162
空,15517,331.27,4.1908,4618,73.97,3.6645
军,15516,331.25,4.1908,2873,46.02,3.4583
跑,15495,330.8,4.1902,4504,72.14,3.6536
阿,15489,330.67,4.19,2985,47.81,3.4749
尽,15462,330.09,4.1893,5033,80.62,3.7018
注,15259,325.76,4.1835,4984,79.83,3.6976
弄,15246,325.48,4.1832,4850,77.69,3.6857
密,15201,324.52,4.1819,4259,68.22,3.6293
线,15170,323.86,4.181,4282,68.59,3.6316
代,15142,323.26,4.1802,4747,76.04,3.6764
忙,15130,323.01,4.1798,4907,78.6,3.6908
坏,15105,322.47,4.1791,5019,80.39,3.7006
久,15073,321.79,4.1782,5007,80.2,3.6996
议,14943,319.01,4.1744,4282,68.59,3.6316
衣,14941,318.97,4.1744,4375,70.08,3.641
血,14874,317.54,4.1724,3601,57.68,3.5564
钟,14858,317.2,4.172,4607,73.79,3.6634
继,14780,315.53,4.1697,4852,77.72,3.6859
礼,14769,315.3,4.1694,4012,64.26,3.6034
数,14754,314.98,4.1689,4620,74,3.6646
份,14754,314.98,4.1689,4662,74.68,3.6686
疯,14752,314.94,4.1689,4667,74.76,3.669
平,14739,314.66,4.1685,4773,76.45,3.6788
止,14732,314.51,4.1683,4866,77.94,3.6872
十,14731,314.49,4.1682,4176,66.89,3.6208
拜,14722,314.3,4.168,4436,71.06,3.647
鬼,14646,312.67,4.1657,3812,61.06,3.5812
睡,14599,311.67,4.1643,4239,67.9,3.6273
啦,14557,310.77,4.1631,3322,53.21,3.5214
调,14539,310.39,4.1625,4336,69.45,3.6371
巴,14445,308.38,4.1597,3278,52.51,3.5156
兄,14373,306.85,4.1575,3534,56.61,3.5483
紧,14372,306.82,4.1575,4706,75.38,3.6727
站,14330,305.93,4.1562,4536,72.66,3.6567
品,14318,305.67,4.1559,4239,67.9,3.6273
英,14246,304.13,4.1537,3969,63.58,3.5987
罪,14242,304.05,4.1536,3557,56.98,3.5511
文,14196,303.07,4.1522,3743,59.96,3.5732
亮,14157,302.23,4.151,4410,70.64,3.6444
抓,14157,302.23,4.151,4190,67.12,3.6222
跳,14132,301.7,4.1502,3515,56.3,3.5459
联,14117,301.38,4.1497,4013,64.28,3.6035
混,14032,299.57,4.1471,4086,65.45,3.6113
便,13982,298.5,4.1456,4830,77.37,3.6839
狗,13978,298.41,4.1454,3042,48.73,3.4832
脑,13934,297.47,4.1441,4457,71.39,3.649
业,13928,297.35,4.1439,4346,69.61,3.6381
歌,13868,296.06,4.142,2608,41.77,3.4163
精,13848,295.64,4.1414,4516,72.34,3.6548
包,13742,293.37,4.138,4583,73.41,3.6611
转,13740,293.33,4.138,4538,72.69,3.6569
却,13707,292.63,4.1369,4636,74.26,3.6661
参,13574,289.79,4.1327,4169,66.78,3.62
院,13564,289.57,4.1324,3799,60.85,3.5797
务,13515,288.53,4.1308,4130,66.15,3.616
基,13428,286.67,4.128,3765,60.31,3.5758
台,13404,286.16,4.1272,3697,59.22,3.5678
另,13372,285.48,4.1262,4877,78.12,3.6882
恩,13365,285.33,4.126,2549,40.83,3.4064
书,13360,285.22,4.1258,3636,58.24,3.5606
统,13355,285.11,4.1256,3335,53.42,3.5231
风,13301,283.96,4.1239,4400,70.48,3.6435
况,13269,283.28,4.1228,4554,72.95,3.6584
四,13242,282.7,4.122,4378,70.13,3.6413
黑,13220,282.23,4.1212,3889,62.29,3.5898
否,13209,282,4.1209,4525,72.48,3.6556
险,13181,281.4,4.1199,4295,68.8,3.633
言,13176,281.29,4.1198,4555,72.96,3.6585
米,13160,280.95,4.1193,2521,40.38,3.4016
杰,13140,280.52,4.1186,1523,24.4,3.1827
校,13122,280.14,4.118,3100,49.66,3.4914
幸,13109,279.86,4.1176,4617,73.95,3.6644
传,13084,279.33,4.1167,4345,69.6,3.638
复,13041,278.41,4.1153,4552,72.91,3.6582
